model,group_kind,group_value,total,correct,accuracy,null_prediction,coverage,invalid_formats,missing_format_flag
gpt-5.4,category,Arithmetik,1109,1028,0.9270,0,1.0000,0,0
gpt-5.4,category,Geometrie,1168,719,0.6156,0,1.0000,0,0
gpt-5.4,category,Stochastik,593,503,0.8482,1,0.9983,1,0
gpt-5.4,category,unknown,94,63,0.6702,0,1.0000,0,0
gpt-5.4,difficulty,A,1172,981,0.8370,0,1.0000,0,0
gpt-5.4,difficulty,B,1184,977,0.8252,1,0.9992,1,0
gpt-5.4,difficulty,C,1201,886,0.7377,0,1.0000,0,0
mistral-large-2512,overall,ALL,3556,2228,0.6265,0,1.0000,0,0
mistral-large-2512,category,Algebra,593,448,0.7555,0,1.0000,0,0
mistral-large-2512,category,Arithmetik,1108,861,0.7771,0,1.0000,0,0
mistral-large-2512,category,Geometrie,1168,510,0.4366,0,1.0000,0,0
mistral-large-2512,category,Stochastik,593,367,0.6189,0,1.0000,0,0
mistral-large-2512,category,unknown,94,42,0.4468,0,1.0000,0,0
mistral-large-2512,difficulty,A,1171,788,0.6729,0,1.0000,0,0
mistral-large-2512,difficulty,B,1184,753,0.6360,0,1.0000,0,0
mistral-large-2512,difficulty,C,1201,687,0.5720,0,1.0000,0,0
mistral-medium-2508,overall,ALL,3556,1692,0.4758,0,1.0000,0,0
mistral-medium-2508,category,Algebra,593,329,0.5548,0,1.0000,0,0
mistral-medium-2508,category,Arithmetik,1109,665,0.5996,0,1.0000,0,0
mistral-medium-2508,category,Geometrie,1167,415,0.3556,0,1.0000,0,0
mistral-medium-2508,category,Stochastik,593,252,0.4250,0,1.0000,0,0
mistral-medium-2508,category,unknown,94,31,0.3298,0,1.0000,0,0
mistral-medium-2508,difficulty,A,1172,656,0.5597,0,1.0000,0,0
mistral-medium-2508,difficulty,B,1184,590,0.4983,0,1.0000,0,0
mistral-medium-2508,difficulty,C,1200,446,0.3717,0,1.0000,0,0
mistral-small-2506,overall,ALL,3322,1628,0.4901,0,1.0000,0,0
mistral-small-2506,category,Algebra,549,302,0.5501,0,1.0000,0,0
mistral-small-2506,category,Arithmetik,1044,688,0.6590,0,1.0000,0,0
mistral-small-2506,category,Geometrie,1088,379,0.3483,0,1.0000,0,0
mistral-small-2506,category,Stochastik,552,228,0.4130,0,1.0000,0,0
mistral-small-2506,category,unknown,89,31,0.3483,0,1.0000,0,0
mistral-small-2506,difficulty,A,1110,653,0.5883,0,1.0000,0,0
mistral-small-2506,difficulty,B,1112,561,0.5045,0,1.0000,0,0
mistral-small-2506,difficulty,C,1100,414,0.3764,0,1.0000,0,0
